key,level
AND,country
ATG,country
ABW,country
BHS,country
BRB,country
BLZ,country
BMU,country
BTN,country
VGB,country
BRN,country
CPV,country
CYM,country
COM,country
CUW,country
DJI,country
DMA,country
FRO,country
FJI,country
PYF,country
GIB,country
GRL,country
GRD,country
GUY,country
IMN,country
KIR,country
MAC,country
MDV,country
MHL,country
FSM,country
MCO,country
NRU,country
NCL,country
PLW,country
MAF,country
KNA,country
LCA,country
VCT,country
WSM,country
SMR,country
STP,country
SYC,country
SXM,country
SLB,country
SUR,country
TON,country
TCA,country
TUV,country
VUT,country
DZA1,gadm1
DZA2,gadm1
DZA3,gadm1
DZA4,gadm1
DZA5,gadm1
DZA6,gadm1
DZA7,gadm1
DZA8,gadm1
DZA9,gadm1
DZA10,gadm1
DZA11,gadm1
DZA12,gadm1
DZA13,gadm1
DZA14,gadm1
DZA15,gadm1
DZA16,gadm1
DZA17,gadm1
DZA18,gadm1
DZA19,gadm1
DZA20,gadm1
DZA21,gadm1
DZA22,gadm1
DZA23,gadm1
DZA24,gadm1
DZA25,gadm1
DZA26,gadm1
DZA27,gadm1
DZA28,gadm1
DZA29,gadm1
DZA30,gadm1
DZA31,gadm1
DZA32,gadm1
DZA33,gadm1
DZA34,gadm1
DZA35,gadm1
DZA36,gadm1
DZA37,gadm1
DZA38,gadm1
DZA39,gadm1
DZA40,gadm1
DZA41,gadm1
DZA42,gadm1
DZA43,gadm1
DZA44,gadm1
DZA45,gadm1
DZA46,gadm1
DZA47,gadm1
DZA48,gadm1
AGO1,gadm1
AGO2,gadm1
AGO3,gadm1
AGO4,gadm1
AGO5,gadm1
AGO6,gadm1
AGO7,gadm1
AGO8,gadm1
AGO9,gadm1
AGO10,gadm1
AGO11,gadm1
AGO12,gadm1
AGO13,gadm1
AGO14,gadm1
AGO15,gadm1
AGO16,gadm1
AGO17,gadm1
AGO18,gadm1
ARG1,gadm1
ARG2,gadm1
ARG3,gadm1
ARG4,gadm1
ARG5,gadm1
ARG6,gadm1
ARG7,gadm1
ARG8,gadm1
ARG9,gadm1
ARG10,gadm1
ARG11,gadm1
ARG12,gadm1
ARG13,gadm1
ARG14,gadm1
ARG15,gadm1
ARG16,gadm1
ARG17,gadm1
ARG18,gadm1
ARG19,gadm1
ARG20,gadm1
ARG21,gadm1
ARG22,gadm1
ARG23,gadm1
ARG24,gadm1
ARM1,gadm1
ARM2,gadm1
ARM3,gadm1
ARM4,gadm1
ARM5,gadm1
ARM6,gadm1
ARM7,gadm1
ARM8,gadm1
ARM9,gadm1
ARM10,gadm1
ARM11,gadm1
AUS2,gadm1
AUS4,gadm1
AUS5,gadm1
AUS6,gadm1
AUS7,gadm1
AUS8,gadm1
AUS9,gadm1
AUS10,gadm1
AUS11,gadm1
AZE1,gadm1
AZE2,gadm1
AZE3,gadm1
AZE4,gadm1
AZE5,gadm1
AZE6,gadm1
AZE7,gadm1
AZE8,gadm1
AZE9,gadm1
AZE10,gadm1
BHR1,gadm1
BHR2,gadm1
BHR3,gadm1
BHR4,gadm1
BHR5,gadm1
BLR1,gadm1
BLR2,gadm1
BLR3,gadm1
BLR4,gadm1
BLR5,gadm1
BLR6,gadm1
BEN1,gadm1
BEN2,gadm1
BEN3,gadm1
BEN4,gadm1
BEN5,gadm1
BEN6,gadm1
BEN7,gadm1
BEN8,gadm1
BEN9,gadm1
BEN10,gadm1
BEN11,gadm1
BEN12,gadm1
BOL1,gadm1
BOL2,gadm1
BOL3,gadm1
BOL4,gadm1
BOL5,gadm1
BOL6,gadm1
BOL7,gadm1
BOL8,gadm1
BOL9,gadm1
BIH1,gadm1
BIH2,gadm1
BIH3,gadm1
BWA1,gadm1
BWA2,gadm1
BWA3,gadm1
BWA4,gadm1
BWA5,gadm1
BWA6,gadm1
BWA7,gadm1
BWA8,gadm1
BWA9,gadm1
BWA10,gadm1
BWA11,gadm1
BWA12,gadm1
BWA13,gadm1
BWA14,gadm1
BWA15,gadm1
BWA16,gadm1
BRA1,gadm1
BRA2,gadm1
BRA3,gadm1
BRA4,gadm1
BRA5,gadm1
BRA6,gadm1
BRA7,gadm1
BRA8,gadm1
BRA9,gadm1
BRA10,gadm1
BRA11,gadm1
BRA12,gadm1
BRA13,gadm1
BRA14,gadm1
BRA15,gadm1
BRA16,gadm1
BRA17,gadm1
BRA18,gadm1
BRA19,gadm1
BRA20,gadm1
BRA21,gadm1
BRA22,gadm1
BRA23,gadm1
BRA24,gadm1
BRA25,gadm1
BRA26,gadm1
BRA27,gadm1
BFA1,gadm1
BFA2,gadm1
BFA3,gadm1
BFA4,gadm1
BFA5,gadm1
BFA6,gadm1
BFA7,gadm1
BFA8,gadm1
BFA9,gadm1
BFA10,gadm1
BFA11,gadm1
BFA12,gadm1
BFA13,gadm1
BDI1,gadm1
BDI2,gadm1
BDI3,gadm1
BDI4,gadm1
BDI5,gadm1
BDI6,gadm1
BDI7,gadm1
BDI8,gadm1
BDI9,gadm1
BDI10,gadm1
BDI11,gadm1
BDI12,gadm1
BDI13,gadm1
BDI14,gadm1
BDI15,gadm1
BDI16,gadm1
BDI17,gadm1
KHM1,gadm1
KHM2,gadm1
KHM3,gadm1
KHM4,gadm1
KHM5,gadm1
KHM6,gadm1
KHM7,gadm1
KHM8,gadm1
KHM9,gadm1
KHM10,gadm1
KHM11,gadm1
KHM12,gadm1
KHM13,gadm1
KHM14,gadm1
KHM15,gadm1
KHM16,gadm1
KHM17,gadm1
KHM18,gadm1
KHM19,gadm1
